Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Total Reward
4,-0.019310387,-0.20325287,0.10056607,0.44467476,1,1.0,15
4,-0.023375444,-0.009686871,0.109459564,0.18530938,1,1.0,16
4,-0.023569182,-0.20619088,0.11316575,0.51041824,0,1.0,17
4,-0.027693,-0.4027099,0.12337412,0.836511,0,1.0,18
4,-0.035747197,-0.20946954,0.14010434,0.5850337,1,1.0,19
4,-0.039936587,-0.4062472,0.15180501,0.91836405,0,1.0,20
4,-0.04806153,-0.6030592,0.17017229,1.2546464,0,1.0,21
4,-0.060122713,-0.79990166,0.19526522,1.5954348,0,1.0,22
5,0.037361417,0.21326394,-0.019013807,-0.34661815,1,1.0,1
5,0.041626696,0.4086511,-0.02594617,-0.64523566,1,1.0,2
5,0.049799718,0.21390016,-0.03885088,-0.36083484,0,1.0,3
5,0.054077722,0.4095522,-0.04606758,-0.6655107,1,1.0,4
5,0.062268768,0.21510027,-0.059377793,-0.38768137,0,1.0,5
5,0.06657077,0.020869227,-0.06713142,-0.11429507,0,1.0,6
5,0.066988155,0.21688566,-0.06941732,-0.42737925,1,1.0,7
5,0.07132587,0.022812016,-0.07796491,-0.15736221,0,1.0,8
5,0.07178211,-0.17111214,-0.081112154,0.10974192,0,1.0,9
5,0.06835987,-0.36498374,-0.07891732,0.3757724,0,1.0,10
5,0.06106019,-0.55890125,-0.071401864,0.6425657,0,1.0,11
5,0.049882166,-0.75295913,-0.05855055,0.9119366,0,1.0,12
5,0.03482298,-0.94724214,-0.04031182,1.1856576,0,1.0,13
5,0.01587814,-1.1418188,-0.016598668,1.4654369,0,1.0,14
5,-0.0069582337,-1.3367335,0.012710071,1.752889,0,1.0,15
5,-0.033692904,-1.1417581,0.04776785,1.4641861,1,1.0,16
5,-0.056528065,-1.3374314,0.07705157,1.7713999,0,1.0,17
5,-0.0832767,-1.1432587,0.112479575,1.5036356,1,1.0,18
5,-0.10614187,-1.3395517,0.14255229,1.8292139,0,1.0,19
5,-0.1329329,-1.5359367,0.17913656,2.162572,0,1.0,20
6,0.03470507,-0.21703148,0.022192005,0.3490923,0,1.0,1
6,0.03036444,-0.02223207,0.029173853,0.06348906,1,1.0,2
6,0.0299198,0.17245972,0.030443633,-0.21984845,1,1.0,3
6,0.033368994,-0.02308388,0.026046664,0.08228007,0,1.0,4
6,0.032907315,-0.21856934,0.027692266,0.38306564,0,1.0,5
6,0.02853593,-0.4140733,0.03535358,0.68434966,0,1.0,6
6,0.020254463,-0.2194596,0.04904057,0.40300328,1,1.0,7
6,0.015865272,-0.41524154,0.057100635,0.71073526,0,1.0,8
6,0.0075604413,-0.6111058,0.07131534,1.0208313,0,1.0,9
6,-0.004661675,-0.41700283,0.091731966,0.7513659,1,1.0,10
6,-0.013001732,-0.61326206,0.10675929,1.0714483,0,1.0,11
6,-0.025266971,-0.809621,0.12818825,1.3956375,0,1.0,12
6,-0.041459393,-1.0060834,0.156101,1.7254974,0,1.0,13
6,-0.06158106,-1.2026087,0.19061095,2.0624087,0,1.0,14
7,0.03294143,-0.21047708,0.02663852,0.2979719,0,1.0,1
7,0.028731888,-0.015744794,0.03259796,0.0138078835,1,1.0,2
7,0.028416991,0.17889486,0.032874115,-0.26841438,1,1.0,3
7,0.03199489,0.37353262,0.027505828,-0.55055004,1,1.0,4
7,0.039465543,0.17803535,0.01649483,-0.24932934,0,1.0,5
7,0.04302625,0.3729179,0.011508241,-0.53676414,1,1.0,6
7,0.050484605,0.17763604,0.00077295845,-0.24047741,0,1.0,7
7,0.05403733,-0.017496943,-0.00403659,0.052449223,0,1.0,8
7,0.05368739,0.17768265,-0.0029876055,-0.24150455,1,1.0,9
7,0.05724104,0.37284717,-0.007817697,-0.53512836,1,1.0,10
7,0.06469798,0.177836,-0.018520264,-0.24491893,0,1.0,11
7,0.0682547,-0.017016593,-0.023418643,0.041865192,0,1.0,12
7,0.067914374,-0.21179503,-0.022581339,0.3270683,0,1.0,13
7,0.06367847,-0.40658835,-0.016039973,0.6125454,0,1.0,14
7,0.055546705,-0.6014825,-0.0037890642,0.9001335,0,1.0,15
7,0.043517057,-0.4063094,0.014213606,0.60626197,1,1.0,16
7,0.03539087,-0.6016272,0.026338845,0.9033877,0,1.0,17
7,0.023358323,-0.79709584,0.0444066,1.2042316,0,1.0,18
7,0.007416407,-0.99276274,0.068491235,1.510494,0,1.0,19
7,-0.012438848,-1.1886444,0.09870111,1.8237484,0,1.0,20
7,-0.036211737,-0.99474686,0.13517608,1.5632885,1,1.0,21
7,-0.05610667,-0.8014755,0.16644184,1.315647,1,1.0,22
7,-0.072136186,-0.6088039,0.19275479,1.0793418,1,1.0,23
8,0.029849453,-0.2010407,0.047073096,0.3475244,0,1.0,1
8,0.025828639,-0.39679947,0.054023582,0.65467167,0,1.0,2
8,0.01789265,-0.5926303,0.06711701,0.9638646,0,1.0,3
8,0.0060400427,-0.7885867,0.08639431,1.276855,0,1.0,4
8,-0.009731691,-0.9846974,0.111931406,1.5952922,0,1.0,5
8,-0.02942564,-0.79106677,0.14383726,1.339503,1,1.0,6
8,-0.045246974,-0.98767674,0.17062731,1.6735148,0,1.0,7
8,-0.06500051,-1.1843197,0.20409761,2.0141175,0,1.0,8
9,-0.034770083,0.15727319,0.04467072,-0.32456195,1,1.0,1
9,-0.03162462,-0.038455408,0.03817948,-0.018133117,0,1.0,2
9,-0.032393727,0.1560988,0.03781682,-0.2985297,1,1.0,3
9,-0.029271752,-0.039541237,0.031846225,0.0058360165,0,1.0,4
9,-0.030062575,0.15510987,0.031962946,-0.27663139,1,1.0,5
9,-0.026960379,-0.040453173,0.026430316,0.025958845,0,1.0,6
9,-0.027769443,0.15427998,0.026949493,-0.25826925,1,1.0,7
9,-0.024683842,0.349007,0.021784108,-0.5423316,1,1.0,8
9,-0.017703703,0.15358579,0.010937477,-0.24286525,0,1.0,9
9,-0.014631986,0.3485498,0.006080173,-0.53207827,1,1.0,10
9,-0.0076609896,0.5435857,-0.004561392,-0.82283914,1,1.0,11
9,0.0032107246,0.34852648,-0.021018175,-0.53159434,0,1.0,12
9,0.010181254,0.15370637,-0.031650063,-0.24560761,0,1.0,13
9,0.013255381,-0.04094958,-0.03656221,0.036926504,0,1.0,14
9,0.01243639,0.15467708,-0.035823684,-0.26706427,1,1.0,15
9,0.0155299315,0.35029152,-0.04116497,-0.57082754,1,1.0,16
