Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Exploration Rate,Reward,Score
1,0.031116175,0.22589402,0.0011041588,-0.31361887,1,1.0,1.0,1
1,0.035634056,0.030756354,-0.005168218,-0.020587917,0,1.0,1.0,2
1,0.036249183,0.22595204,-0.0055799764,-0.31489697,1,1.0,1.0,3
1,0.04076822,0.030910019,-0.011877917,-0.02397901,0,1.0,1.0,4
1,0.04138642,-0.1640396,-0.012357497,0.26493275,0,1.0,1.0,5
1,0.03810563,-0.358983,-0.007058841,0.5536925,0,1.0,1.0,6
1,0.03092597,-0.16376264,0.0040150094,0.258794,1,1.0,1.0,7
1,0.027650718,-0.3589417,0.00919089,0.55274063,0,1.0,1.0,8
1,0.020471884,-0.16395001,0.020245703,0.26296753,1,1.0,1.0,9
1,0.017192883,0.030877193,0.025505053,-0.023261543,1,1.0,1.0,10
1,0.017810427,0.22562426,0.025039822,-0.30778947,1,1.0,1.0,11
1,0.022322914,0.03015464,0.018884033,-0.0073160077,0,1.0,1.0,12
1,0.022926006,0.22500075,0.018737713,-0.2939815,1,1.0,1.0,13
1,0.027426021,0.41985062,0.012858083,-0.5806964,1,1.0,1.0,14
1,0.035823032,0.61479,0.0012441546,-0.8693012,1,1.0,1.0,15
1,0.048118833,0.4196512,-0.01614187,-0.57622737,0,1.0,1.0,16
1,0.056511857,0.61499566,-0.027666418,-0.8739514,1,1.0,1.0,17
1,0.068811774,0.8104826,-0.045145445,-1.1752025,1,1.0,1.0,18
1,0.08502142,0.61597544,-0.06864949,-0.8970072,0,1.0,1.0,19
1,0.097340934,0.4218479,-0.08658964,-0.62666893,0,1.0,1.0,20
1,0.10577789,0.61806494,-0.099123016,-0.9453174,1,1.0,1.0,21
1,0.11813919,0.42440778,-0.11802937,-0.68535197,0,1.0,1.0,22
1,0.12662734,0.23110503,-0.13173641,-0.43203533,0,1.0,1.0,23
1,0.13124944,0.03807038,-0.14037712,-0.1836108,0,1.0,1.0,24
1,0.13201085,-0.15479304,-0.14404933,0.061703168,0,1.0,1.0,25
1,0.128915,0.042068962,-0.14281526,-0.27273563,1,1.0,1.0,26
1,0.12975638,0.23890926,-0.14826998,-0.6068352,1,1.0,1.0,27
1,0.13453455,0.046137433,-0.16040668,-0.3642819,0,1.0,1.0,28
1,0.1354573,-0.14638463,-0.16769232,-0.12616366,0,1.0,1.0,29
1,0.13252962,-0.33875692,-0.17021559,0.10927624,0,1.0,1.0,30
1,0.12575448,-0.1416565,-0.16803007,-0.23190379,1,1.0,1.0,31
1,0.12292134,-0.33402884,-0.17266814,0.0034219918,0,1.0,1.0,32
1,0.11624077,-0.13690528,-0.1725997,-0.33837903,1,0.999,1.0,33
1,0.11350266,-0.32920492,-0.17936729,-0.104708195,0,0.998001,1.0,34
1,0.106918566,-0.13202654,-0.18146145,-0.44818237,1,0.997002999,1.0,35
1,0.104278035,-0.32418028,-0.1904251,-0.21774161,0,0.996005996001,1.0,36
1,0.09779443,-0.51614237,-0.19477993,0.009349363,0,0.995009990004999,1.0,37
1,0.08747158,-0.31883794,-0.19459294,-0.33791468,1,0.994014980014994,1.0,38
1,0.081094824,-0.5107356,-0.20135124,-0.112350844,0,0.993020965034979,1.0,39
1,0.07088011,-0.3133834,-0.20359825,-0.46119657,1,0.9920279440699441,1.0,40
1,0.06461244,-0.50513387,-0.21282218,-0.23895693,0,0.9910359161258742,1.0,41
2,0.031116175,-0.16434982,0.0011041588,0.27174622,0,0.9910359161258742,1.0,1
2,0.027829178,-0.3594875,0.006539083,0.5647772,0,0.9900448802097482,1.0,2
2,0.020639427,-0.5547006,0.017834626,0.85951304,0,0.9890548353295385,1.0,3
2,0.009545416,-0.75006086,0.03502489,1.1577499,0,0.988065780494209,1.0,4
2,-0.0054558017,-0.5554125,0.058179885,0.87625164,1,0.9870777147137147,1.0,5
2,-0.01656405,-0.36112753,0.07570492,0.6024126,1,0.986090636999001,1.0,6
2,-0.023786603,-0.5572222,0.08775317,0.91794807,0,0.9851045463620021,1.0,7
2,-0.034931045,-0.7534139,0.10611213,1.2368696,0,0.98411944181564,1.0,8
2,-0.049999323,-0.5598032,0.13084953,0.97922546,1,0.9831353223738244,1.0,9
2,-0.06119539,-0.7564134,0.15043403,1.3099797,0,0.9821521870514506,1.0,10
2,-0.07632366,-0.95308626,0.17663363,1.6457182,0,0.9811700348643991,1.0,11
2,-0.09538538,-1.1497804,0.209548,1.9878294,0,0.9801888648295347,1.0,12
3,0.031116175,-0.16434982,0.0011041588,0.27174622,0,0.9801888648295347,1.0,1
3,0.027829178,-0.3594875,0.006539083,0.5647772,0,0.9792086759647052,1.0,2
3,0.020639427,-0.1644579,0.017834626,0.27416152,1,0.9782294672887405,1.0,3
3,0.01735027,0.030405097,0.023317857,-0.012843397,1,0.9772512378214517,1.0,4
3,0.017958371,-0.16504337,0.023060989,0.28710443,0,0.9762739865836303,1.0,5
3,0.014657504,-0.36048648,0.028803078,0.58697045,0,0.9752977125970467,1.0,6
3,0.0074477745,-0.55599976,0.040542487,0.8885856,0,0.9743224148844496,1.0,7
3,-0.00367222,-0.7516478,0.0583142,1.1937327,0,0.9733480924695651,1.0,8
3,-0.018705174,-0.9474744,0.08218885,1.5041081,0,0.9723747443770956,1.0,9
3,-0.037654664,-0.7534404,0.11227102,1.2381759,1,0.9714023696327185,1.0,10
3,-0.05272347,-0.94981104,0.13703454,1.5638157,0,0.9704309672630859,1.0,11
3,-0.07171969,-0.7565678,0.16831085,1.3168304,1,0.9694605362958227,1.0,12
3,-0.086851045,-0.95337075,0.19464746,1.6571134,0,0.9684910757595269,1.0,13
3,-0.10591846,-0.7609788,0.22778973,1.430841,1,0.9675225846837673,1.0,14
4,0.031116175,0.22589402,0.0011041588,-0.31361887,1,0.9675225846837673,1.0,1
4,0.035634056,0.030756354,-0.005168218,-0.020587917,0,0.9665550620990835,1.0,2
4,0.036249183,0.22595204,-0.0055799764,-0.31489697,1,0.9655885070369844,1.0,3
4,0.04076822,0.030910019,-0.011877917,-0.02397901,0,0.9646229185299474,1.0,4
4,0.04138642,-0.1640396,-0.012357497,0.26493275,0,0.9636582956114175,1.0,5
4,0.03810563,0.031256534,-0.007058841,-0.03162208,1,0.9626946373158061,1.0,6
4,0.038730763,-0.16376348,-0.007691283,0.25882536,0,0.9617319426784903,1.0,7
4,0.03545549,0.03146742,-0.0025147754,-0.03627353,1,0.9607702107358118,1.0,8
4,0.03608484,0.22662534,-0.003240246,-0.32974884,1,0.959809440525076,1.0,9
4,0.040617347,0.031549666,-0.009835223,-0.038089488,0,0.9588496310845509,1.0,10
4,0.04124834,0.22681126,-0.010597013,-0.33385924,1,0.9578907814534664,1.0,11
4,0.045784567,0.42208242,-0.017274197,-0.629865,1,0.9569328906720129,1.0,12
4,0.054226212,0.22720572,-0.029871497,-0.34267193,0,0.9559759577813409,1.0,13
4,0.05877033,0.03252121,-0.036724936,-0.05955633,0,0.9550199818235596,1.0,14
4,0.059420753,0.22814995,-0.03791606,-0.3635963,1,0.9540649618417361,1.0,15
