Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Exploration Rate,Reward,Score
4,0.07444519,0.4219879,-0.06030113,-0.62865865,0,0.959809440525076,1.0,8
4,0.082884945,0.6178973,-0.0728743,-0.9397064,1,0.9588496310845509,1.0,9
4,0.09524289,0.81392187,-0.09166843,-1.254369,1,0.9578907814534664,1.0,10
4,0.111521326,1.0100904,-0.116755806,-1.574299,1,0.9569328906720129,1.0,11
4,0.13172314,0.81653816,-0.14824179,-1.3201957,0,0.9559759577813409,1.0,12
4,0.1480539,1.01319,-0.1746457,-1.6553619,1,0.9550199818235596,1.0,13
4,0.1683177,1.209867,-0.20775294,-1.9969748,1,0.9540649618417361,1.0,14
4,0.19251505,1.0174361,-0.24769244,-1.7751762,0,0.9531108968798944,1.0,15
5,0.031116175,0.22589402,0.0011041588,-0.31361887,1,0.9531108968798944,1.0,1
5,0.035634056,0.4210002,-0.005168218,-0.60595334,1,0.9521577859830145,1.0,2
5,0.044054057,0.22595093,-0.017287286,-0.31490275,0,0.9512056281970315,1.0,3
5,0.048573077,0.031079432,-0.02358534,-0.02772142,0,0.9502544225688344,1.0,4
5,0.049194667,-0.16369648,-0.02413977,0.25742775,0,0.9493041681462656,1.0,5
5,0.045920737,-0.35846564,-0.018991213,0.54239994,0,0.9483548639781193,1.0,6
5,0.038751423,-0.5533156,-0.008143215,0.8290391,0,0.9474065091141411,1.0,7
5,0.027685111,-0.35808328,0.008437567,0.53380626,1,0.946459102605027,1.0,8
5,0.020523446,-0.16308099,0.019113692,0.24379386,1,0.9455126435024219,1.0,9
5,0.017261826,0.03176281,0.02398957,-0.04279937,1,0.9445671308589195,1.0,10
5,0.017897082,-0.16369478,0.023133582,0.25735492,0,0.9436225637280606,1.0,11
5,0.014623187,-0.35913923,0.028280681,0.5572438,0,0.9426789411643326,1.0,12
5,0.007440402,-0.55464655,0.039425556,0.85870093,0,0.9417362622231683,1.0,13
5,-0.003652529,-0.75028276,0.056599576,1.1635153,0,0.9407945259609451,1.0,14
5,-0.018658184,-0.5559416,0.07986988,0.88910174,1,0.9398537314349842,1.0,15
5,-0.029777015,-0.36198902,0.097651914,0.62255716,1,0.9389138777035492,1.0,16
5,-0.037016794,-0.5583291,0.110103056,0.94432825,0,0.9379749638258457,1.0,17
5,-0.048183378,-0.7547483,0.12898962,1.2694778,0,0.9370369888620198,1.0,18
5,-0.06327835,-0.5614875,0.15437919,1.019813,1,0.9360999518731578,1.0,19
5,-0.07450809,-0.36872205,0.17477544,0.77931094,1,0.9351638519212846,1.0,20
5,-0.08188254,-0.56576085,0.19036166,1.1214892,0,0.9342286880693633,1.0,21
5,-0.09319775,-0.37357473,0.21279144,0.89404655,1,0.933294459381294,1.0,22
6,0.031116175,0.22589402,0.0011041588,-0.31361887,1,0.933294459381294,1.0,1
6,0.035634056,0.4210002,-0.005168218,-0.60595334,1,0.9323611649219127,1.0,2
6,0.044054057,0.61619407,-0.017287286,-0.9002597,1,0.9314288037569908,1.0,3
6,0.05637794,0.81154597,-0.03529248,-1.1983259,1,0.9304973749532338,1.0,4
6,0.07260886,0.616898,-0.059258997,-0.9169097,0,0.9295668775782806,1.0,5
6,0.08494682,0.812769,-0.07759719,-1.2276124,1,0.9286373107007023,1.0,6
6,0.1012022,1.0087992,-0.102149434,-1.5435635,1,0.9277086733900016,1.0,7
6,0.12137818,0.81504244,-0.13302071,-1.2844231,0,0.9267809647166116,1.0,8
6,0.13767903,1.0115832,-0.15870917,-1.6156228,1,0.925854183751895,1.0,9
6,0.15791069,0.81864953,-0.19102162,-1.3763242,0,0.9249283295681431,1.0,10
6,0.17428368,1.0155746,-0.2185481,-1.7221583,1,0.9240034012385749,1.0,11
7,0.031116175,-0.16434982,0.0011041588,0.27174622,0,0.9240034012385749,1.0,1
7,0.027829178,0.030756362,0.006539083,-0.020588256,1,0.9230793978373364,1.0,2
7,0.028444305,-0.16445875,0.006127318,0.27415064,0,0.9221563184394991,1.0,3
7,0.025155129,-0.3596676,0.011610331,0.5687598,0,0.9212341621210596,1.0,4
7,0.017961778,-0.16471039,0.022985527,0.27975708,1,0.9203129279589385,1.0,5
7,0.01466757,-0.36015257,0.02858067,0.57960004,0,0.9193926150309796,1.0,6
7,0.007464519,-0.16544256,0.04017267,0.29605588,1,0.9184732224159486,1.0,7
7,0.0041556675,0.029084362,0.046093788,0.01630852,1,0.9175547491935327,1.0,8
7,0.004737355,-0.16666728,0.046419956,0.3231709,0,0.9166371944443392,1.0,9
7,0.0014040093,0.027763989,0.052883375,0.04548072,1,0.9157205572498949,1.0,10
7,0.0019592892,0.2220893,0.05379299,-0.2300593,1,0.914804836692645,1.0,11
7,0.006401075,0.41640294,0.049191803,-0.50530064,1,0.9138900318559524,1.0,12
7,0.014729134,0.6107984,0.03908579,-0.7820845,1,0.9129761418240965,1.0,13
7,0.026945103,0.41516167,0.023444101,-0.47736523,0,0.9120631656822724,1.0,14
7,0.035248335,0.21971668,0.013896796,-0.17738639,0,0.9111511025165902,1.0,15
7,0.03964267,0.02439864,0.010349068,0.119647905,0,0.9102399514140735,1.0,16
7,0.04013064,-0.17087005,0.012742027,0.41557783,0,0.9093297114626595,1.0,17
7,0.036713243,0.024069015,0.021053582,0.12693901,1,0.9084203817511969,1.0,18
7,0.03719462,0.21888313,0.023592362,-0.1590281,1,0.9075119613694457,1.0,19
7,0.041572284,0.023431497,0.0204118,0.14100328,0,0.9066044494080763,1.0,20
7,0.042040914,0.21825525,0.023231866,-0.14517082,1,0.9056978449586682,1.0,21
7,0.04640602,0.022808434,0.020328451,0.15474984,0,0.9047921471137096,1.0,22
7,0.04686219,0.21763352,0.023423446,-0.13145123,1,0.9038873549665959,1.0,23
7,0.05121486,0.022183996,0.020794421,0.16852847,0,0.9029834676116293,1.0,24
7,0.051658537,0.21700223,0.024164991,-0.11752257,1,0.9020804841440176,1.0,25
7,0.055998582,0.41176975,0.02181454,-0.40248474,1,0.9011784036598737,1.0,26
7,0.06423397,0.6065756,0.013764845,-0.6882111,1,0.9002772252562138,1.0,27
7,0.07636549,0.41126534,6.2386715e-07,-0.39122668,0,0.8993769480309576,1.0,28
7,0.0845908,0.21614338,-0.00782391,-0.098543555,0,0.8984775710829266,1.0,29
7,0.088913664,0.021134442,-0.009794781,0.19166072,0,0.8975790935118436,1.0,30
7,0.08933635,-0.17384604,-0.005961566,0.48123777,0,0.8966815144183318,1.0,31
7,0.08585943,-0.3688833,0.003663189,0.77203584,0,0.8957848329039134,1.0,32
7,0.07848176,-0.5640555,0.019103905,1.0658691,0,0.8948890480710096,1.0,33
7,0.06720065,-0.36919147,0.04042129,0.77924263,1,0.8939941590229386,1.0,34
7,0.059816826,-0.5648452,0.05600614,1.084364,0,0.8931001648639156,1.0,35
7,0.048519924,-0.7606596,0.07769342,1.3940823,0,0.8922070646990518,1.0,36
7,0.033306733,-0.5665857,0.10557507,1.1266687,1,0.8913148576343527,1.0,37
7,0.021975016,-0.37299347,0.12810844,0.8688785,1,0.8904235427767183,1.0,38
7,0.014515148,-0.17982535,0.14548601,0.6190617,1,0.8895331192339416,1.0,39
7,0.0109186405,-0.37664756,0.15786724,0.95379823,0,0.8886435861147077,1.0,40
7,0.0033856893,-0.18396118,0.17694321,0.71458316,1,0.887754942528593,1.0,41
7,-0.00029353428,0.00832754,0.19123487,0.48240387,1,0.8868671875860644,1.0,42
7,-0.00012698346,-0.18890609,0.20088294,0.828742,0,0.8859803203984784,1.0,43
7,-0.0039051052,0.0029864626,0.21745779,0.6053546,1,0.88509434007808,1.0,44
8,0.031116175,0.22589402,0.0011041588,-0.31361887,1,0.88509434007808,1.0,1
8,0.035634056,0.030756354,-0.005168218,-0.020587917,0,0.8842092457380019,1.0,2
8,0.036249183,0.22595204,-0.0055799764,-0.31489697,1,0.8833250364922639,1.0,3
8,0.04076822,0.030910019,-0.011877917,-0.02397901,0,0.8824417114557717,1.0,4
8,0.04138642,-0.1640396,-0.012357497,0.26493275,0,0.8815592697443159,1.0,5
8,0.03810563,0.031256534,-0.007058841,-0.03162208,1,0.8806777104745716,1.0,6
8,0.038730763,0.226479,-0.007691283,-0.32652375,1,0.8797970327640969,1.0,7
8,0.04326034,0.03146739,-0.014221759,-0.036276218,0,0.8789172357313328,1.0,8
8,0.04388969,0.22679037,-0.014947282,-0.3334121,1,0.8780383184956015,1.0,9
8,0.048425496,0.031884313,-0.021615524,-0.045480028,0,0.8771602801771059,1.0,10
8,0.049063183,0.22730944,-0.022525124,-0.3449037,1,0.8762831198969288,1.0,11
8,0.05360937,0.03251504,-0.0294232,-0.05940806,0,0.8754068367770318,1.0,12
8,0.054259673,0.22804624,-0.03061136,-0.36122707,1,0.8745314299402548,1.0,13
8,0.058820598,0.03337247,-0.037835903,-0.078351565,0,0.8736568985103146,1.0,14
8,0.059488047,0.22901581,-0.039402932,-0.38272765,1,0.8727832416118043,1.0,15
8,0.06406836,0.034474835,-0.047057487,-0.10272415,0,0.8719104583701925,1.0,16
8,0.06475786,0.23023848,-0.04911197,-0.40987435,1,0.8710385479118223,1.0,17
8,0.069362625,0.035845973,-0.057309456,-0.13307029,0,0.8701675093639105,1.0,18
8,0.07007955,0.23174001,-0.059970863,-0.4432687,1,0.8692973418545467,1.0,19
8,0.07471435,0.42765698,-0.068836235,-0.7542367,1,0.8684280445126921,1.0,20
8,0.08326749,0.623657,-0.08392097,-1.0677624,1,0.8675596164681794,1.0,21
8,0.09574063,0.42973942,-0.10527622,-0.8025535,0,0.8666920568517111,1.0,22
8,0.10433542,0.62613535,-0.12132729,-1.1264105,1,0.8658253647948594,1.0,23
8,0.116858125,0.4327938,-0.1438555,-0.8741128,0,0.8649595394300645,1.0,24
8,0.125514,0.6295478,-0.16133775,-1.208343,1,0.8640945798906344,1.0,25
8,0.13810496,0.8263432,-0.18550462,-1.5469303,1,0.8632304853107438,1.0,26
8,0.15463182,0.6338695,-0.21644323,-1.3173993,0,0.862367254825433,1.0,27
9,0.031116175,-0.16434982,0.0011041588,0.27174622,0,0.862367254825433,1.0,1
9,0.027829178,-0.3594875,0.006539083,0.5647772,0,0.8615048875706075,1.0,2
9,0.020639427,-0.1644579,0.017834626,0.27416152,1,0.8606433826830369,1.0,3
9,0.01735027,-0.35982972,0.023317857,0.57241577,0,0.8597827393003539,1.0,4
9,0.0101536745,-0.55527073,0.03476617,0.8723524,0,0.8589229565610536,1.0,5
9,-0.00095173996,-0.7508478,0.05221322,1.1757599,0,0.8580640336044925,1.0,6
9,-0.015968695,-0.94660777,0.07572842,1.4843434,0,0.857205969570888,1.0,7
9,-0.03490085,-0.7524864,0.105415285,1.2162389,1,0.8563487636013172,1.0,8
9,-0.04995058,-0.55887014,0.12974006,0.9583612,1,0.8554924148377159,1.0,9
9,-0.061127983,-0.36570865,0.14890729,0.7090908,1,0.8546369224228781,1.0,10
9,-0.06844216,-0.56254494,0.1630891,1.044695,0,0.8537822855004553,1.0,11
9,-0.07969306,-0.36991936,0.183983,0.8073267,1,0.8529285032149548,1.0,12
9,-0.08709144,-0.1777312,0.20012954,0.5776962,1,0.8520755747117399,1.0,13
