Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Reward,Score
4,0.07522479,0.6176567,0.01127853,-0.5100501,0,1.6225118190050125,()
4,0.08757792,0.81261796,0.0010775268,-0.7991576,1,1.0201002471148968,()
4,0.10383028,0.61748123,-0.014905626,-0.50613594,0,-1.3828098773956299,()
4,0.116179906,0.81281,-0.025028344,-0.80347866,1,-1.0122718289494514,()
4,0.1324361,0.61804,-0.041097917,-0.5187727,0,-1.6069572418928146,()
4,0.14479691,0.81371576,-0.05147337,-0.8241179,1,-1.0375455021858215,()
4,0.16107121,0.6193343,-0.06795573,-0.5480583,0,-1.6482360661029816,()
4,0.1734579,0.4252295,-0.07891689,-0.27753678,0,-1.0961160063743591,()
4,0.18196249,0.23131688,-0.08446763,-0.010750631,0,-0.555073469877243,()
4,0.18658882,0.42754227,-0.08468264,-0.32884327,1,-0.021501630544662476,()
4,0.19513968,0.62376124,-0.09125951,-0.646984,1,-0.6576865911483765,()
4,0.2076149,0.82002825,-0.104199186,-0.9669525,1,-1.2939676642417908,()
4,0.22401546,0.6264482,-0.12353824,-0.70873654,0,-1.9339054822921753,()
4,0.23654443,0.4332343,-0.13771297,-0.45735234,0,-1.4174729585647583,()
4,0.24520911,0.24030052,-0.14686002,-0.21105132,0,-0.9147047996520996,()
4,0.25001514,0.43718368,-0.15108104,-0.5462188,1,-0.4221022129058838,()
4,0.2587588,0.24447122,-0.16200542,-0.30469197,0,-1.0924383997917175,()
4,0.2636482,0.051984053,-0.16809925,-0.06716343,0,-0.6093829870223999,()
4,0.2646879,-0.14037901,-0.16944252,0.16812523,0,-0.1343265175819397,()
4,0.26188034,-0.3327216,-0.16608003,0.4029292,0,0.3362491726875305,()
4,0.2552259,-0.13568157,-0.15802144,0.06283261,1,0.8058592677116394,()
4,0.25251228,-0.32822654,-0.15676479,0.30178633,0,0.12566447257995605,()
4,0.24594773,-0.52080727,-0.15072906,0.54121494,0,0.6035730242729187,()
4,0.23553158,-0.323924,-0.13990475,0.20509167,1,1.0824307799339294,()
4,0.22905311,-0.5167969,-0.13580292,0.45057628,0,0.41018277406692505,()
4,0.21871717,-0.32004187,-0.1267914,0.11835763,1,0.9011521935462952,()
4,0.21231633,-0.123352826,-0.12442425,-0.2114845,1,0.2367153763771057,()
4,0.20984928,-0.31649646,-0.12865394,0.03950483,0,-0.4229694604873657,()
4,0.20351934,-0.5095613,-0.12786384,0.28898868,0,0.07901042699813843,()
4,0.19332813,-0.3128699,-0.122084066,-0.04112949,1,0.5779772996902466,()
4,0.18707073,-0.5060489,-0.122906655,0.21067865,0,-0.08225888013839722,()
4,0.17694974,-0.30940357,-0.11869308,-0.11810792,1,0.4213571548461914,()
4,0.17076167,-0.112798646,-0.121055245,-0.4457543,1,-0.23621618747711182,()
4,0.1685057,-0.30601865,-0.12997033,-0.19354872,0,-0.891508162021637,()
4,0.16238533,-0.499065,-0.1338413,0.055474743,0,-0.38709789514541626,()
4,0.15240403,-0.3023032,-0.13273181,-0.27626038,1,0.1109495759010315,()
4,0.14635797,-0.49530637,-0.13825701,-0.02821076,0,-0.5525201559066772,()
4,0.13645184,-0.6882027,-0.13882123,0.21785454,0,-0.056421756744384766,()
4,0.12268778,-0.8810954,-0.13446414,0.4637276,0,0.4357084631919861,()
4,0.105065875,-0.684355,-0.12518959,0.1318675,1,0.927455723285675,()
4,0.09137878,-0.87748206,-0.12255224,0.38258126,0,0.26373490691185,()
4,0.07382914,-0.68085253,-0.11490061,0.053908885,1,0.7651627063751221,()
4,0.060212083,-0.4842866,-0.11382244,-0.27270237,1,0.10781735181808472,()
4,0.05052635,-0.677616,-0.11927648,-0.017976351,0,-0.5454041063785553,()
4,0.03697403,-0.48100337,-0.11963601,-0.3457841,1,-0.03595277667045593,()
4,0.027353963,-0.28440082,-0.12655169,-0.6736691,1,-0.6915681064128876,()
4,0.021665946,-0.4775579,-0.14002508,-0.4233575,0,-1.347339153289795,()
4,0.012114788,-0.28075883,-0.14849222,-0.7566998,1,-0.8467137813568115,()
4,0.006499612,-0.47355622,-0.16362622,-0.5141827,0,-1.513400673866272,()
4,-0.0029715125,-0.6660415,-0.17390987,-0.27720308,0,-1.028364896774292,()
4,-0.016292341,-0.85831106,-0.17945394,-0.044021245,0,-0.5544066429138184,()
4,-0.03345856,-1.0504667,-0.18033436,0.18710677,0,-0.08804202079772949,()
4,-0.054467894,-0.8532844,-0.17659223,-0.15660167,1,0.3742128610610962,()
4,-0.07153358,-1.0454962,-0.17972426,0.0755835,0,-0.31320303678512573,()
4,-0.09244351,-0.848314,-0.17821258,-0.26798084,1,0.15116780996322632,()
4,-0.10940979,-0.6511557,-0.1835722,-0.61115193,1,-0.5359619855880737,()
4,-0.1224329,-0.8433018,-0.19579524,-0.3814432,0,-1.2223035097122192,()
4,-0.13929893,-0.646017,-0.20342411,-0.72891283,1,-0.7628872990608215,()
5,-0.010773487,-0.1960685,0.01679054,0.25428513,0,0.08783936500549316,()
5,-0.014694857,-0.0011902642,0.021876244,-0.033054836,1,-0.5085702985525131,()
5,-0.014718663,0.19361125,0.021215146,-0.3187561,1,0.06610974669456482,()
5,-0.010846438,0.38842472,0.0148400245,-0.60467374,1,0.6375121884047985,()
5,-0.003077943,0.58333606,0.0027465494,-0.8926457,1,1.2093475088477135,()
5,0.008588778,0.38817695,-0.015106365,-0.5991007,0,-1.2359815649688244,()
5,0.016352316,0.58350694,-0.02708838,-0.8965034,1,-1.1982014402747154,()
5,0.028022455,0.77898544,-0.045018446,-1.1975766,1,-1.7930066213011742,()
5,0.043602165,0.9746602,-0.06896998,-1.5040222,1,-2.3951534181833267,()
5,0.06309537,1.170548,-0.099050425,-1.8174165,1,-3.008044511079788,()
5,0.08650633,0.9766574,-0.13539876,-1.5570793,0,-3.6348335444927216,()
5,0.10603948,0.78339195,-0.16654034,-1.3095202,0,-3.1141579151153564,()
5,0.12170731,0.9801854,-0.19273074,-1.6493629,1,-2.619040012359619,()
6,0.0051025148,0.17170273,0.037093546,-0.32404554,1,0.08715726435184479,()
6,0.00853657,-0.023927232,0.030612634,-0.019899463,0,0.6480911746621132,()
6,0.008058025,0.17074263,0.030214647,-0.30276874,1,0.03979876637458801,()
6,0.011472877,-0.02479662,0.024159271,-0.00071198086,0,0.6055375561118126,()
6,0.010976945,0.16997068,0.024145031,-0.28567553,1,0.0014239922165870667,()
6,0.014376358,-0.025487164,0.018431522,0.014523717,0,0.5713509395718575,()
6,0.013866615,-0.22086853,0.018721996,0.31296456,0,-0.029047392308712006,()
6,0.0094492445,-0.4162521,0.024981286,0.6114925,0,-0.6259290501475334,()
6,0.001124202,-0.6117141,0.037211135,0.91193783,0,-1.222984865307808,()
6,-0.011110081,-0.41711488,0.05544989,0.63117856,1,-1.823875680565834,()
6,-0.019452378,-0.22280867,0.06807347,0.3564611,1,-1.262357458472252,()
6,-0.023908552,-0.028717263,0.07520269,0.08599643,1,-0.712922215461731,()
6,-0.024482898,-0.22483212,0.07692262,0.40142602,0,-0.1719929277896881,()
6,-0.02897954,-0.030880736,0.08495113,0.1339522,1,-0.8028514683246613,()
6,-0.029597156,0.16292813,0.08763018,-0.13076715,1,-0.26790499687194824,()
6,-0.026338592,-0.033332683,0.085014835,0.18822479,0,0.26153475046157837,()
6,-0.027005246,-0.22956155,0.08877933,0.5064693,0,-0.3764495253562927,()
6,-0.031596478,-0.42581496,0.098908715,0.82575697,0,-1.0129384696483612,()
6,-0.040112775,-0.23217475,0.11542386,0.565748,1,-1.651514321565628,()
6,-0.04475627,-0.038845148,0.12673882,0.3115425,1,-1.1314958333969116,()
6,-0.045533173,0.1542648,0.13296966,0.06136243,1,-0.6230846047401428,()
6,-0.04244788,-0.0424882,0.13419692,0.39286467,0,-0.1227259635925293,()
6,-0.04329764,-0.23923385,0.14205422,0.72466534,0,-0.7857292890548706,()
6,-0.04808232,-0.046332255,0.15654752,0.47985116,1,-1.4493301510810852,()
6,-0.049008965,-0.24327752,0.16614453,0.81749374,0,-0.9597018361091614,()
6,-0.053874515,-0.05077214,0.18249442,0.581334,1,-1.6349881887435913,()
6,-0.05488996,0.14138703,0.1941211,0.35123774,1,-1.1626675724983215,()
6,-0.052062217,-0.055889115,0.20114584,0.6983078,0,-0.7024750113487244,()
7,0.01865833,-0.15771168,-0.026477251,0.3235012,0,0.07908958941698074,()
7,0.015504097,0.03777709,-0.020007227,0.02258742,1,0.6470024585723877,()
7,0.016259639,0.23318017,-0.01955548,-0.27634028,1,0.0451747328042984,()
7,0.020923242,0.42857558,-0.025082285,-0.5751263,1,-0.552680529654026,()
7,0.029494753,0.23381406,-0.03658481,-0.29044932,0,-1.1502524837851524,()
7,0.034171034,0.039232355,-0.042393796,-0.009525609,0,-0.5808986723423004,()
7,0.03495568,-0.15525678,-0.042584307,0.26948592,0,-0.01905113458633423,()
