Episode Number,Cart Position,Cart Velocity,Pole Angle,Pole Angular Velocity,Action,Exploration Rate,Reward,Score
1,0.031116175,0.22589402,0.0011041588,-0.31361887,1,1.0,1.0,1
1,0.035634056,0.030756354,-0.005168218,-0.020587917,0,1.0,1.0,2
1,0.036249183,0.22595204,-0.0055799764,-0.31489697,1,1.0,1.0,3
1,0.04076822,0.42115304,-0.011877917,-0.6093344,1,1.0,1.0,4
1,0.04919128,0.22619912,-0.024064604,-0.3204162,0,1.0,1.0,5
1,0.053715266,0.42165536,-0.030472929,-0.62059,1,1.0,1.0,6
1,0.062148374,0.22697195,-0.04288473,-0.3376581,0,1.0,1.0,7
1,0.066687815,0.4226771,-0.04963789,-0.64355016,1,1.0,1.0,8
1,0.075141355,0.22828081,-0.062508896,-0.36690247,0,1.0,1.0,9
1,0.07970697,0.42423275,-0.06984694,-0.67862195,1,1.0,1.0,10
1,0.08819163,0.23014706,-0.08341938,-0.4087216,0,1.0,1.0,11
1,0.09279457,0.42634657,-0.09159382,-0.7264943,1,1.0,1.0,12
1,0.101321496,0.6226075,-0.1061237,-1.0465428,1,1.0,1.0,13
1,0.11377365,0.8189657,-0.12705456,-1.3705647,1,1.0,1.0,14
1,0.13015296,1.0154272,-0.15446585,-1.7001352,1,1.0,1.0,15
1,0.15046151,0.8223859,-0.18846856,-1.4592535,0,1.0,1.0,16
1,0.16690922,0.6300082,-0.21765362,-1.2308791,0,1.0,1.0,17
2,0.031116175,-0.16434982,0.0011041588,0.27174622,0,1.0,1.0,1
2,0.027829178,0.030756362,0.006539083,-0.020588256,1,1.0,1.0,2
2,0.028444305,0.22578393,0.006127318,-0.3112009,1,1.0,1.0,3
2,0.032959983,0.42081806,-9.669957e-05,-0.60194516,1,1.0,1.0,4
2,0.041376345,0.61594135,-0.0121356025,-0.8946585,1,1.0,1.0,5
2,0.053695172,0.8112258,-0.030028773,-1.1911314,1,1.0,1.0,6
2,0.06991968,1.0067236,-0.0538514,-1.4930731,1,1.0,1.0,7
2,0.09005416,1.2024579,-0.08371286,-1.8020735,1,1.0,1.0,8
2,0.11410332,1.0083653,-0.11975433,-1.5365369,0,1.0,1.0,9
2,0.13427062,1.2047081,-0.15048507,-1.8640655,1,1.0,1.0,10
2,0.15836479,1.0115213,-0.18776637,-1.6216362,0,1.0,1.0,11
2,0.17859522,1.2082927,-0.22019911,-1.9664849,1,1.0,1.0,12
3,0.031116175,0.22589402,0.0011041588,-0.31361887,1,1.0,1.0,1
3,0.035634056,0.4210002,-0.005168218,-0.60595334,1,1.0,1.0,2
3,0.044054057,0.61619407,-0.017287286,-0.9002597,1,1.0,1.0,3
3,0.05637794,0.42131057,-0.03529248,-0.6130603,0,0.999,1.0,4
3,0.06480415,0.22669914,-0.047553685,-0.33169878,0,0.998001,1.0,5
3,0.069338135,0.42246458,-0.05418766,-0.6389905,1,0.997002999,1.0,6
3,0.07778743,0.61829853,-0.06696747,-0.94823366,1,0.996005996001,1.0,7
3,0.090153396,0.42413905,-0.08593214,-0.67732096,0,0.995009990004999,1.0,8
3,0.09863618,0.62034315,-0.099478565,-0.99577415,1,0.994014980014994,1.0,9
3,0.11104304,0.81664467,-0.11939404,-1.3179691,1,0.993020965034979,1.0,10
3,0.12737593,1.0130569,-0.14575343,-1.6455086,1,0.9920279440699441,1.0,11
3,0.14763707,0.8199102,-0.1786636,-1.4015605,0,0.9910359161258742,1.0,12
3,0.16403528,1.0167449,-0.20669481,-1.7443607,1,0.9900448802097482,1.0,13
3,0.18437018,1.2135317,-0.24158202,-2.0935946,1,0.9890548353295385,1.0,14
4,0.031116175,-0.16434982,0.0011041588,0.27174622,0,0.9890548353295385,1.0,1
4,0.027829178,-0.3594875,0.006539083,0.5647772,0,0.988065780494209,1.0,2
4,0.020639427,-0.1644579,0.017834626,0.27416152,1,0.9870777147137147,1.0,3
4,0.01735027,0.030405097,0.023317857,-0.012843397,1,0.986090636999001,1.0,4
4,0.017958371,0.225185,0.023060989,-0.298079,1,0.9851045463620021,1.0,5
4,0.022462072,0.029742053,0.017099408,0.001786802,0,0.98411944181564,1.0,6
4,0.023056913,0.22461465,0.017135145,-0.2854524,1,0.9831353223738244,1.0,7
4,0.027549205,0.029252565,0.011426098,0.012585214,0,0.9821521870514506,1.0,8
4,0.028134257,0.2242088,0.011677802,-0.27647084,1,0.9811700348643991,1.0,9
4,0.032618433,0.02892221,0.0061483844,0.019872257,0,0.9801888648295347,1.0,10
4,0.033196878,-0.16628738,0.0065458296,0.3144887,0,0.9792086759647052,1.0,11
4,0.02987113,-0.36150196,0.012835604,0.6092288,0,0.9782294672887405,1.0,12
4,0.02264109,-0.16656177,0.02502018,0.32061616,1,0.9772512378214517,1.0,13
4,0.019309856,-0.36203092,0.031432502,0.62108326,0,0.9762739865836303,1.0,14
4,0.0120692365,-0.16736172,0.04385417,0.33846334,1,0.9752977125970467,1.0,15
4,0.008722002,-0.36307937,0.050623436,0.6446465,0,0.9743224148844496,1.0,16
4,0.0014604147,-0.5588689,0.06351636,0.95283157,0,0.9733480924695651,1.0,17
4,-0.009716963,-0.75478536,0.082573,1.2647749,0,0.9723747443770956,1.0,18
4,-0.02481267,-0.5608101,0.10786849,0.9990522,1,0.9714023696327185,1.0,19
4,-0.036028873,-0.36728242,0.12784953,0.7420998,1,0.9704309672630859,1.0,20
4,-0.04337452,-0.5639156,0.14269154,1.0721278,0,0.9694605362958227,1.0,21
4,-0.054652832,-0.37093848,0.16413409,0.8274131,1,0.9684910757595269,1.0,22
4,-0.062071603,-0.5678784,0.18068235,1.1668918,0,0.9675225846837673,1.0,23
4,-0.07342917,-0.76483154,0.20402019,1.5103443,0,0.9665550620990835,1.0,24
4,-0.0887258,-0.57268125,0.23422708,1.2876633,1,0.9655885070369844,1.0,25
5,0.031116175,-0.16434982,0.0011041588,0.27174622,0,0.9655885070369844,1.0,1
5,0.027829178,-0.3594875,0.006539083,0.5647772,0,0.9646229185299474,1.0,2
5,0.020639427,-0.1644579,0.017834626,0.27416152,1,0.9636582956114175,1.0,3
5,0.01735027,-0.35982972,0.023317857,0.57241577,0,0.9626946373158061,1.0,4
5,0.0101536745,-0.55527073,0.03476617,0.8723524,0,0.9617319426784903,1.0,5
5,-0.00095173996,-0.36063838,0.05221322,0.5907995,1,0.9607702107358118,1.0,6
5,-0.008164507,-0.55645096,0.06402921,0.8994618,0,0.959809440525076,1.0,7
5,-0.019293528,-0.36225247,0.08201845,0.6275727,1,0.9588496310845509,1.0,8
5,-0.026538577,-0.16836527,0.0945699,0.36180595,1,0.9578907814534664,1.0,9
5,-0.029905882,-0.36469525,0.10180602,0.6827471,0,0.9569328906720129,1.0,10
5,-0.037199788,-0.5610726,0.11546096,1.0056672,0,0.9559759577813409,1.0,11
5,-0.048421238,-0.7575312,0.13557431,1.3322632,0,0.9550199818235596,1.0,12
5,-0.06357186,-0.954077,0.16221957,1.6641135,0,0.9540649618417361,1.0,13
5,-0.0826534,-1.1506733,0.19550185,2.00262,0,0.9531108968798944,1.0,14
